,gold,tower,kill,blue_result,red_result
3389,0.00013937715518528665,0.00015248551387618176,0.00019825909631615717,1,0
3390,0.0001005599076364545,5.082850462539392e-05,0.00013217273087743811,0,1
3391,0.00018449727318804902,0.00015248551387618176,0.0002549045524064878,0,1
3392,0.00010908203986333198,0.0002033140185015757,0.0002077000056645456,1,0
3393,0.00010540762714424713,0.00010165700925078785,0.00021714091501293404,0,1
3394,0.00011121570452180056,0.00016942834875131307,0.0002077000056645456,1,0
3395,0.0001388280810119234,0.00018637118362644438,0.00016049545892260342,1,0
3396,6.853614814893035e-05,1.6942834875131306e-05,5.664545609033062e-05,0,1
3397,8.554074564719518e-05,3.388566975026261e-05,6.608636543871906e-05,0,1
3398,0.0001083054026295254,0.00016942834875131307,0.00018881818696776873,1,0
3399,9.09103987798578e-05,5.082850462539392e-05,0.0001038500028322728,0,1
3400,9.534683459125287e-05,5.082850462539392e-05,8.496818413549593e-05,0,1
3401,0.00012131407629578546,0.0002033140185015757,0.00026434546175487623,1,0
3402,9.349083862121513e-05,0.0002033140185015757,0.0001793772776193803,1,0
3403,0.00011808643875958934,0.0002033140185015757,0.00024546364305809936,1,0
3404,0.00010675630363091122,0.00016942834875131307,0.00021714091501293404,1,0
3405,8.110430983580012e-05,3.388566975026261e-05,7.55272747871075e-05,0,1
3406,0.00013379455313367706,0.0002033140185015757,0.0003304318271935953,1,0
3407,9.490214714286363e-05,0.00016942834875131307,0.00016993636827099186,1,0
3408,0.00015779514893969946,0.00018637118362644438,0.0001793772776193803,1,0
3409,0.0001285856555574744,0.00015248551387618176,0.00018881818696776873,1,0
3410,0.00015713960030686275,0.00016942834875131307,0.00022658182436132248,1,0
3411,0.00014849011627551698,0.00016942834875131307,0.00024546364305809936,1,0
3412,7.038796864996914e-05,3.388566975026261e-05,5.664545609033062e-05,0,1
3413,0.000101553669258207,0.00018637118362644438,0.00022658182436132248,1,0
3414,0.00011685258767039664,0.00018637118362644438,0.00019825909631615717,1,0
3415,9.509630645131526e-05,8.471417437565654e-05,0.0001038500028322728,0,1
3416,0.0001417884885321861,0.0002033140185015757,0.0001793772776193803,1,0
3417,9.900663316884135e-05,0.00018637118362644438,0.0001793772776193803,1,0
3418,0.00010881272211289905,0.00016942834875131307,0.0002077000056645456,1,0
3419,0.00015603936422563675,0.0002033140185015757,0.0002549045524064878,1,0
3420,7.483484313386159e-05,3.388566975026261e-05,7.55272747871075e-05,0,1
3421,0.0001050339226688402,0.00015248551387618176,0.00018881818696776873,1,0
3422,0.00013543968791926732,0.0002033140185015757,0.0003304318271935953,1,0
3423,0.00020841227187959273,0.00015248551387618176,0.00024546364305809936,1,0
3424,0.00014247952865151397,0.00016942834875131307,0.00022658182436132248,1,0
3425,0.0001504546744395277,0.0002033140185015757,0.00011329091218066124,1,0
3426,9.966426953617757e-05,3.388566975026261e-05,3.776363739355375e-05,0,1
3427,0.0001559516793766586,6.777133950052523e-05,0.00016049545892260342,0,1
3428,0.00012526406996880168,8.471417437565654e-05,0.00016049545892260342,0,1
3429,0.0001402080735160797,0.00015248551387618176,9.440909348388437e-05,1,0
3430,0.00011587761565913946,5.082850462539392e-05,0.00013217273087743811,0,1
3431,0.00012367530401469738,0.00016942834875131307,0.00023602273370971092,1,0
3432,0.00015330443203131791,8.471417437565654e-05,0.00016993636827099186,0,1
3433,0.00010928246237528205,0.0002033140185015757,0.00016049545892260342,1,0
3434,0.00010582308630964364,6.777133950052523e-05,0.00014161364022582655,0,1
3435,0.00011479408145390933,0.00018637118362644438,0.00024546364305809936,1,0
3436,0.00016650100180253118,0.0002033140185015757,0.00019825909631615717,1,0
3437,9.601908510008544e-05,5.082850462539392e-05,8.496818413549593e-05,0,1
3438,0.00012703446882436073,0.00016942834875131307,0.00030210909914843,1,0
