,split,goldblue,goldred,bTowers,rTowers,bKills,rKills,bResult,rResult
2405,"12994    2018-2
Name: split, dtype: object",75661,83013,4,11,18,18,0,1
2406,"13006    2018-2
Name: split, dtype: object",70631,59475,11,3,12,11,1,0
2407,"13018    2018-2
Name: split, dtype: object",74231,86303,4,10,9,22,0,1
2408,"13030    2018-2
Name: split, dtype: object",58989,61962,4,7,13,16,0,1
2409,"13042    2018-2
Name: split, dtype: object",57093,45447,9,3,13,2,1,0
2410,"13054    2018-2
Name: split, dtype: object",72217,65461,9,2,18,21,1,0
2411,"13066    2018-2
Name: split, dtype: object",91832,92686,9,7,17,13,1,0
2412,"13078    2018-2
Name: split, dtype: object",58052,46452,10,2,17,3,1,0
2413,"13090    2018-2
Name: split, dtype: object",55275,69125,3,10,7,20,0,1
2414,"13102    2018-2
Name: split, dtype: object",51324,66000,0,11,2,10,0,1
2415,"13114    2018-2
Name: split, dtype: object",71705,54690,11,0,16,6,1,0
2416,"13126    2018-2
Name: split, dtype: object",82234,93148,3,11,5,15,0,1
2417,"13138    2018-2
Name: split, dtype: object",86099,74931,10,1,16,7,1,0
2418,"13150    2018-2
Name: split, dtype: object",51364,57651,4,9,8,10,0,1
2419,"13162    2018-2
Name: split, dtype: object",73440,67322,10,5,14,7,1,0
2420,"13174    2018-2
Name: split, dtype: object",42776,53738,1,9,9,20,0,1
2421,"13186    2018-2
Name: split, dtype: object",82644,82012,5,10,14,20,0,1
2422,"13198    2018-2
Name: split, dtype: object",43098,51041,3,9,5,15,0,1
2423,"13210    2018-2
Name: split, dtype: object",90387,84990,10,5,12,3,1,0
2424,"13222    2018-2
Name: split, dtype: object",62771,50890,11,3,12,0,1,0
2425,"13234    2018-2
Name: split, dtype: object",117613,116336,9,11,22,21,0,1
2426,"13246    2018-2
Name: split, dtype: object",51776,45427,8,2,11,7,1,0
2427,"13258    2018-2
Name: split, dtype: object",43350,56196,1,11,0,9,0,1
2428,"13270    2018-2
Name: split, dtype: object",59043,73124,3,11,11,20,0,1
2429,"13282    2018-2
Name: split, dtype: object",60144,44562,11,0,18,2,1,0
2430,"13294    2018-2
Name: split, dtype: object",54674,39544,10,1,14,4,1,0
2431,"13306    2018-2
Name: split, dtype: object",68338,63299,7,5,18,10,1,0
2432,"13318    2018-2
Name: split, dtype: object",64179,47418,11,1,16,3,1,0
2433,"13330    2018-2
Name: split, dtype: object",54011,46167,8,3,8,5,1,0
2434,"13342    2018-2
Name: split, dtype: object",54108,65780,3,11,12,20,0,1
2435,"13354    2018-2
Name: split, dtype: object",57464,43139,9,0,20,3,1,0
2436,"13366    2018-2
Name: split, dtype: object",75729,83123,4,10,22,24,0,1
2437,"13378    2018-2
Name: split, dtype: object",73341,76965,6,10,15,11,0,1
2438,"13390    2018-2
Name: split, dtype: object",76712,87336,7,8,10,19,0,1
2439,"13402    2018-2p
Name: split, dtype: object",49359,53501,1,6,3,8,0,1
2440,"13414    2018-2p
Name: split, dtype: object",53419,41522,8,1,14,4,1,0
2441,"13426    2018-2rq
Name: split, dtype: object",50244,62868,3,9,7,16,0,1
2442,"13438    2018-2p
Name: split, dtype: object",47303,51116,3,5,12,14,0,1
2443,"13450    2018-2rq
Name: split, dtype: object",57027,63920,7,8,9,19,0,1
2444,"13462    2018-2p
Name: split, dtype: object",61552,50667,10,2,13,6,1,0
2445,"13474    2018-2p
Name: split, dtype: object",42650,49668,2,7,6,15,0,1
2446,"13486    2018-2p
Name: split, dtype: object",59072,63397,5,7,7,16,0,1
2447,"13498    2018-2p
Name: split, dtype: object",48427,56574,3,8,11,15,0,1
2448,"13510    2018-2p
Name: split, dtype: object",60666,44421,11,1,23,10,1,0
2449,"13522    2018-2p
Name: split, dtype: object",38884,53579,1,10,8,22,0,1
2450,"13534    2018-2p
Name: split, dtype: object",65555,64981,7,9,4,5,0,1
2451,"13546    2018-2p
Name: split, dtype: object",64182,69733,6,5,8,17,0,1
2452,"13558    2018-2p
Name: split, dtype: object",67085,53124,10,3,21,7,1,0
2453,"13570    2018-2p
Name: split, dtype: object",78344,62843,11,1,15,11,1,0
2454,"13582    2018-2p
Name: split, dtype: object",85185,70655,11,3,10,5,1,0
2455,"13594    2018-2p
Name: split, dtype: object",66882,55440,10,1,9,2,1,0
2456,"13606    2018-2p
Name: split, dtype: object",63031,68706,6,10,8,14,0,1
2457,"13618    2018-2p
Name: split, dtype: object",51355,59163,3,9,19,15,0,1
2458,"13630    2018-2p
Name: split, dtype: object",65958,59386,7,6,15,10,1,0
2459,"13642    2018-2p
Name: split, dtype: object",37741,51343,3,11,3,13,0,1
2460,"13654    2018-2p
Name: split, dtype: object",40740,51134,2,7,4,18,0,1
2461,"13666    2018-2p
Name: split, dtype: object",44723,58041,2,10,7,15,0,1
2462,"13678    2018-2p
Name: split, dtype: object",60363,67700,6,9,9,12,0,1
2463,"13690    2018-2p
Name: split, dtype: object",54202,62060,3,11,5,19,0,1
2464,"13702    2018-2p
Name: split, dtype: object",57572,64776,7,11,12,10,0,1
2465,"13714    2018-2p
Name: split, dtype: object",56161,45743,9,1,10,7,1,0
2466,"13726    2018-2p
Name: split, dtype: object",69319,58771,11,2,14,8,1,0
2467,"13738    2018-2p
Name: split, dtype: object",53329,40264,9,1,14,5,1,0
2468,"13750    2018-2p
Name: split, dtype: object",54319,60404,5,8,14,16,0,1
2469,"13762    2018-2p
Name: split, dtype: object",61654,48687,9,1,23,5,1,0
2470,"13774    2018-2p
Name: split, dtype: object",64435,71990,8,11,5,20,0,1
2471,"13786    2018-2p
Name: split, dtype: object",71326,63914,10,3,15,8,1,0
2472,"13798    2018-2rq
Name: split, dtype: object",48702,59916,1,9,6,12,0,1
2473,"13810    2018-2p
Name: split, dtype: object",55811,46925,7,3,15,7,1,0
2474,"13822    2018-2rq
Name: split, dtype: object",64827,49791,11,0,14,3,1,0
2475,"13834    2018-2p
Name: split, dtype: object",46053,50550,5,7,6,13,0,1
2476,"13846    2018-2p
Name: split, dtype: object",56385,67823,1,11,8,14,0,1
2477,"13858    2018-2p
Name: split, dtype: object",55104,53843,8,4,11,7,1,0
2478,"13870    2018-2p
Name: split, dtype: object",62666,49460,10,2,17,5,1,0
2479,"13882    2018-2p
Name: split, dtype: object",78515,77517,8,8,15,11,1,0
2480,"13894    2018-2
Name: split, dtype: object",51871,56465,3,7,7,10,0,1
2481,"13906    2018-2
Name: split, dtype: object",59289,46256,11,1,6,2,1,0
2482,"13918    2018-2
Name: split, dtype: object",68693,72041,3,9,13,17,0,1
2483,"13930    2018-2
Name: split, dtype: object",71975,59208,8,2,23,12,1,0
2484,"13942    2018-2
Name: split, dtype: object",85757,90551,7,11,16,9,0,1
2485,"13954    2018-2
Name: split, dtype: object",41783,52027,3,8,6,14,0,1
2486,"13966    2018-2
Name: split, dtype: object",62143,69480,5,10,13,17,0,1
2487,"13978    2018-2
Name: split, dtype: object",61663,47848,10,0,18,9,1,0
2488,"13990    2018-2
Name: split, dtype: object",73526,59315,10,2,31,14,1,0
2489,"14002    2018-2
Name: split, dtype: object",35500,50700,0,10,2,13,0,1
2490,"14014    2018-2
Name: split, dtype: object",41664,46171,3,7,11,8,0,1
2491,"14026    2018-2
Name: split, dtype: object",72501,63670,8,3,29,19,1,0
2492,"14038    2018-2
Name: split, dtype: object",48480,63297,0,9,12,19,0,1
2493,"14050    2018-2
Name: split, dtype: object",55078,39978,8,0,21,5,1,0
2494,"14062    2018-2
Name: split, dtype: object",82219,62159,11,1,24,7,1,0
2495,"14074    2018-2
Name: split, dtype: object",40552,53820,0,9,7,14,0,1
2496,"14086    2018-2
Name: split, dtype: object",72982,82379,4,10,20,19,0,1
2497,"14098    2018-2
Name: split, dtype: object",63770,51834,10,3,16,7,1,0
2498,"14110    2018-2
Name: split, dtype: object",62769,51880,9,3,23,7,1,0
2499,"14122    2018-2
Name: split, dtype: object",57685,43200,9,0,14,4,1,0
2500,"14134    2018-2
Name: split, dtype: object",58824,69582,2,10,8,15,0,1
2501,"14146    2018-2
Name: split, dtype: object",59982,43754,9,0,15,5,1,0
2502,"14158    2018-2
Name: split, dtype: object",55997,45510,8,1,17,5,1,0
2503,"14170    2018-2
Name: split, dtype: object",54402,41080,11,2,15,5,1,0
2504,"14182    2018-2
Name: split, dtype: object",97489,95575,9,8,20,23,0,1
2505,"14194    2018-2
Name: split, dtype: object",64524,57533,8,4,12,6,1,0
2506,"14206    2018-2
Name: split, dtype: object",65147,53288,9,1,21,11,1,0
2507,"14218    2018-2
Name: split, dtype: object",59345,61766,4,7,12,15,0,1
2508,"14230    2018-2
Name: split, dtype: object",63693,48852,9,3,22,13,1,0
2509,"14242    2018-2
Name: split, dtype: object",44548,54186,2,10,4,18,0,1
2510,"14254    2018-2p
Name: split, dtype: object",68690,58064,10,3,25,15,1,0
2511,"14266    2018-2p
Name: split, dtype: object",65132,47244,10,1,23,6,1,0
2512,"14278    2018-2p
Name: split, dtype: object",41809,54248,0,10,6,16,0,1
2513,"14290    2018-2p
Name: split, dtype: object",59412,65965,2,9,12,18,0,1
2514,"14302    2018-2p
Name: split, dtype: object",52859,41538,7,4,18,6,1,0
2515,"14314    2018-2p
Name: split, dtype: object",45896,56844,3,11,6,19,0,1
2516,"14326    2018-2p
Name: split, dtype: object",51574,55187,6,6,7,13,0,1
2517,"14338    2018-2p
Name: split, dtype: object",50589,56559,4,7,9,16,0,1
2518,"14350    2018-2p
Name: split, dtype: object",64174,76486,4,10,8,17,0,1
2519,"14362    2018-2p
Name: split, dtype: object",52162,41782,10,2,13,6,1,0
2520,"14374    2018-2p
Name: split, dtype: object",68663,60304,9,4,19,12,1,0
2521,"14386    2018-2p
Name: split, dtype: object",64154,53743,11,2,11,6,1,0
2522,"14398    2018-2p
Name: split, dtype: object",44922,35752,8,0,8,5,1,0
2523,"14410    2018-2p
Name: split, dtype: object",74263,60705,9,3,11,6,1,0
2524,"14422    2018-2p
Name: split, dtype: object",65064,76280,3,10,3,13,0,1
2525,"14434    2018-2p
Name: split, dtype: object",58872,48747,9,2,14,5,1,0
2526,"14446    2018-2p
Name: split, dtype: object",56322,43760,9,1,12,6,1,0
2527,"14458    2018-2p
Name: split, dtype: object",48976,42865,7,2,13,6,1,0
2528,"14470    2018-2p
Name: split, dtype: object",55301,68218,3,8,6,22,0,1
2529,"14482    2018-2p
Name: split, dtype: object",47002,38282,8,3,14,5,1,0
2530,"14494    2018-2p
Name: split, dtype: object",64601,64058,6,5,12,12,0,1
2531,"14506    2018-2p
Name: split, dtype: object",64436,74043,5,7,12,24,0,1
2532,"14518    2018-2p
Name: split, dtype: object",59560,63267,3,7,13,16,0,1
2533,"14530    2018-2p
Name: split, dtype: object",64245,56161,9,3,25,13,1,0
2534,"14542    2018-2
Name: split, dtype: object",53443,65898,0,9,13,20,0,1
2535,"14554    2018-2
Name: split, dtype: object",53078,39842,9,1,17,7,1,0
2536,"14566    2018-2
Name: split, dtype: object",42674,56725,0,7,7,22,0,1
2537,"14578    2018-2
Name: split, dtype: object",52600,63400,3,10,6,13,0,1
2538,"14590    2018-2
Name: split, dtype: object",59500,60900,4,11,12,14,0,1
2539,"14602    2018-2
Name: split, dtype: object",62300,53600,9,4,11,9,1,0
2540,"14614    2018-2
Name: split, dtype: object",41744,57876,2,9,7,24,0,1
2541,"14626    2018-2
Name: split, dtype: object",66189,57255,9,3,22,9,1,0
2542,"14638    2018-2
Name: split, dtype: object",34938,48858,0,7,2,17,0,1
2543,"14650    2018-2
Name: split, dtype: object",64400,47000,11,0,12,2,1,0
2544,"14662    2018-2
Name: split, dtype: object",63800,55300,11,1,8,4,1,0
2545,"14674    2018-2
Name: split, dtype: object",51200,56900,3,6,16,17,0,1
2546,"14686    2018-2
Name: split, dtype: object",63700,49800,10,1,11,5,1,0
2547,"14698    2018-2
Name: split, dtype: object",44850,55293,3,7,4,12,0,1
2548,"14710    2018-2p
Name: split, dtype: object",63402,76399,3,8,9,23,0,1
2549,"14722    2018-2p
Name: split, dtype: object",51034,68483,0,9,8,17,0,1
2550,"14734    2018-2p
Name: split, dtype: object",58646,45785,10,1,7,4,1,0
2551,"14746    2018-2p
Name: split, dtype: object",83712,82517,7,9,17,17,0,1
2552,"14758    2018-2p
Name: split, dtype: object",76122,63417,10,2,14,5,1,0
2553,"14770    2018-2p
Name: split, dtype: object",60547,48295,9,2,18,6,1,0
2554,"14782    2018-2p
Name: split, dtype: object",42254,31930,8,1,12,2,1,0
2555,"14794    2018-2p
Name: split, dtype: object",42231,54219,2,11,5,17,0,1
2556,"14806    2018-2p
Name: split, dtype: object",53561,66547,3,11,7,17,0,1
2557,"14818    2018-2p
Name: split, dtype: object",73821,66871,10,4,15,7,1,0
2558,"14830    2018-2p
Name: split, dtype: object",52023,46135,8,4,10,5,1,0
2559,"14842    2018-2p
Name: split, dtype: object",60646,51714,11,1,12,9,1,0
2560,"14854    2018-2p
Name: split, dtype: object",58923,43845,9,1,9,0,1,0
2561,"14866    2018-2p
Name: split, dtype: object",75759,84782,5,10,13,17,0,1
2562,"14878    2018-2p
Name: split, dtype: object",49415,58710,3,9,6,17,0,1
2563,"14890    2018-2p
Name: split, dtype: object",45219,51828,3,7,8,10,0,1
2564,"14902    2018-2p
Name: split, dtype: object",58074,49540,9,2,14,6,1,0
2565,"14914    2018-2p
Name: split, dtype: object",57133,53234,8,5,16,10,1,0
2566,"14926    2018-2p
Name: split, dtype: object",67771,61081,8,3,11,5,1,0
2567,"14938    2018-2p
Name: split, dtype: object",68972,53102,10,1,27,12,1,0
2568,"14950    2018-2p
Name: split, dtype: object",78976,65055,11,2,15,3,1,0
2569,"14962    2018-2p
Name: split, dtype: object",38966,52248,1,9,5,13,0,1
2570,"14974    2018-2p
Name: split, dtype: object",63309,49404,10,2,23,8,1,0
2571,"14986    2018-2p
Name: split, dtype: object",91963,82254,11,4,20,14,1,0
2572,"14998    2018-2p
Name: split, dtype: object",61832,49927,10,5,28,10,1,0
2573,"15010    2018-2p
Name: split, dtype: object",51886,45646,7,3,12,12,1,0
2574,"15022    2018-2p
Name: split, dtype: object",63839,53662,8,1,9,2,1,0
2575,"15034    2018-2p
Name: split, dtype: object",64763,53641,8,1,14,7,1,0
2576,"15046    2018-2p
Name: split, dtype: object",43519,59544,1,11,6,17,0,1
2577,"15058    2018-2p
Name: split, dtype: object",66636,66752,8,7,16,16,1,0
2578,"15070    2018-2p
Name: split, dtype: object",71712,65674,10,2,24,12,1,0
2579,"15082    2018-2p
Name: split, dtype: object",50300,59642,1,9,7,13,0,1
2580,"15094    2018-2p
Name: split, dtype: object",52966,39908,9,2,12,0,1,0
2581,"15106    2018-2p
Name: split, dtype: object",54853,68535,3,10,5,13,0,1
2582,"15118    2018-2p
Name: split, dtype: object",56371,45046,9,3,13,7,1,0
2583,"15130    2018-2p
Name: split, dtype: object",43950,55009,0,10,7,8,0,1
2584,"15142    2018-2p
Name: split, dtype: object",66402,85416,3,8,4,19,0,1
2585,"15154    2018-2p
Name: split, dtype: object",68151,77382,4,7,7,17,0,1
2586,"15166    2018-2p
Name: split, dtype: object",62967,56075,7,3,14,9,1,0
2587,"15178    2018-2p
Name: split, dtype: object",47819,37430,7,0,17,4,1,0
2588,"15190    2018-2p
Name: split, dtype: object",65370,49904,11,0,11,1,1,0
2589,"15202    2018-2p
Name: split, dtype: object",65331,61749,9,5,13,11,1,0
2590,"15214    2018-2p
Name: split, dtype: object",63284,50325,9,1,9,3,1,0
2591,"15226    2018-2p
Name: split, dtype: object",71052,60821,11,2,9,11,1,0
2592,"15238    2018-2p
Name: split, dtype: object",72588,81502,6,10,5,22,0,1
2593,"15250    2018-2p
Name: split, dtype: object",73985,56758,11,0,18,4,1,0
2594,"15262    2018-2p
Name: split, dtype: object",34762,49812,1,8,3,22,0,1
2595,"15274    2018-2p
Name: split, dtype: object",22524,31698,0,7,3,12,0,1
2596,"15286    2018-2p
Name: split, dtype: object",37650,53629,1,11,1,16,0,1
2597,"15298    2018-2p
Name: split, dtype: object",55138,70983,0,11,1,11,0,1
2598,"15310    2018-2p
Name: split, dtype: object",41116,55136,3,10,10,22,0,1
2599,"15322    2018-2p
Name: split, dtype: object",38020,44203,0,7,11,19,0,1
2600,"15334    2018-2p
Name: split, dtype: object",49680,61872,2,9,12,16,0,1
2601,"15346    2018-2p
Name: split, dtype: object",61050,71891,4,9,7,15,0,1
2602,"15358    2018-2p
Name: split, dtype: object",70249,82708,3,10,16,29,0,1
2603,"15370    2018-2p
Name: split, dtype: object",53673,42120,9,4,14,5,1,0
2604,"15382    2018-2p
Name: split, dtype: object",82750,63872,11,2,20,10,1,0
2605,"15394    2018-2rq
Name: split, dtype: object",51761,60307,3,8,5,10,0,1
2606,"15406    2018-2rq
Name: split, dtype: object",57291,42300,10,0,8,1,1,0
2607,"15418    2018-2rq
Name: split, dtype: object",35183,44101,2,7,1,11,0,1
2608,"15430    2018-2rq
Name: split, dtype: object",89013,75801,11,2,8,7,1,0
2609,"15442    2018-2rq
Name: split, dtype: object",56274,41029,11,1,13,3,1,0
2610,"15454    2018-2rq
Name: split, dtype: object",75307,62112,10,1,16,6,1,0
2611,"15466    2018-2rq
Name: split, dtype: object",53017,65516,0,11,4,9,0,1
2612,"15478    2018-2rq
Name: split, dtype: object",60431,76570,2,11,6,15,0,1
2613,"15490    2018-2rq
Name: split, dtype: object",56230,41804,8,0,13,2,1,0
2614,"15502    2018-2rq
Name: split, dtype: object",73895,78308,7,6,11,17,0,1
2615,"15514    2018-2p
Name: split, dtype: object",52661,58965,3,8,7,17,0,1
2616,"15526    2018-2p
Name: split, dtype: object",51241,59331,2,8,3,16,0,1
2617,"15538    2018-2p
Name: split, dtype: object",48600,61990,1,11,6,15,0,1
2618,"15550    2018-2rq
Name: split, dtype: object",79716,81912,6,11,8,12,0,1
2619,"15562    2018-2rq
Name: split, dtype: object",71032,67809,10,5,15,19,1,0
2620,"15574    2018-2rq
Name: split, dtype: object",50422,60672,4,9,5,12,0,1
2621,"15586    2018-2rq
Name: split, dtype: object",53855,63075,2,9,2,8,0,1
2622,"15598    2018-2rq
Name: split, dtype: object",64423,46618,11,0,12,4,1,0
2623,"15610    2018-2rq
Name: split, dtype: object",63971,70525,5,11,6,9,0,1
2624,"15622    2018-2rq
Name: split, dtype: object",62666,49350,11,0,10,6,1,0
2625,"15634    2018-2rq
Name: split, dtype: object",66102,55034,11,3,20,12,1,0
2626,"15646    2018-2rq
Name: split, dtype: object",54030,41918,9,1,11,2,1,0
2627,"15658    2018-2rq
Name: split, dtype: object",61130,70097,2,11,14,22,0,1
2628,"15670    2018-2rq
Name: split, dtype: object",61050,48382,10,0,11,5,1,0
2629,"15682    2018-2rq
Name: split, dtype: object",49891,33471,9,0,22,4,1,0
2630,"15694    2018-2rq
Name: split, dtype: object",71362,60185,9,3,19,7,1,0
2631,"15706    2018-2rq
Name: split, dtype: object",72142,62129,11,2,12,8,1,0
2632,"15718    2018-2rq
Name: split, dtype: object",65580,49910,11,1,18,3,1,0
2633,"15730    2018-2rq
Name: split, dtype: object",68241,53626,11,2,13,5,1,0
2634,"15742    2018-2rq
Name: split, dtype: object",54997,69962,2,11,3,14,0,1
2635,"15754    2018-2rq
Name: split, dtype: object",64734,60394,9,4,20,8,1,0
2636,"15766    2018-2rq
Name: split, dtype: object",58388,55547,8,4,12,10,1,0
2637,"15778    2018-2rq
Name: split, dtype: object",71883,82050,4,10,14,24,0,1
2638,"15790    2018-2rq
Name: split, dtype: object",64663,54551,10,3,16,10,1,0
2639,"15802    2018-2p
Name: split, dtype: object",56654,40707,8,1,22,2,1,0
2640,"15814    2018-2p
Name: split, dtype: object",34125,49539,1,10,5,17,0,1
2641,"15826    2018-2p
Name: split, dtype: object",66473,63152,8,6,13,13,1,0
2642,"15838    2018-2p
Name: split, dtype: object",59108,64159,4,6,12,16,0,1
2643,"15850    2018-2p
Name: split, dtype: object",72829,61065,9,0,26,16,1,0
2644,"15862    2018-2p
Name: split, dtype: object",59986,50379,9,3,20,16,1,0
2645,"15874    2018-2p
Name: split, dtype: object",57877,66050,2,11,14,15,0,1
2646,"15886    2018-2p
Name: split, dtype: object",73077,68969,8,10,25,13,1,0
2647,"15898    2018-2rq
Name: split, dtype: object",78256,61500,9,1,16,8,1,0
2648,"15910    2018-2rq
Name: split, dtype: object",44976,36320,8,0,12,4,1,0
2649,"15922    2018-2rq
Name: split, dtype: object",60259,65613,2,7,12,20,0,1
2650,"15934    2018-2rq
Name: split, dtype: object",58595,70120,4,8,5,19,0,1
2651,"15946    2018-2rq
Name: split, dtype: object",76775,71574,7,5,18,10,1,0
2652,"15958    2018-2rq
Name: split, dtype: object",80707,66232,10,3,20,7,1,0
2653,"15970    2018-2rq
Name: split, dtype: object",67936,56211,8,1,14,2,1,0
2654,"15982    2018-2rq
Name: split, dtype: object",64035,51510,11,1,12,7,1,0
2655,"15994    2018-2rq
Name: split, dtype: object",78104,67497,11,2,24,9,1,0
2656,"16006    2018-2rq
Name: split, dtype: object",64461,49751,11,2,12,4,1,0
2657,"16018    2018-2rq
Name: split, dtype: object",70535,62188,10,3,16,11,1,0
2658,"16030    2018-2rq
Name: split, dtype: object",34122,44848,1,8,2,10,0,1
2659,"16042    2018-2rq
Name: split, dtype: object",41619,31372,7,0,19,4,1,0
2660,"16054    2018-2rq
Name: split, dtype: object",54674,47316,7,1,8,2,1,0
2661,"16066    2018-2rq
Name: split, dtype: object",49575,61705,2,9,7,14,0,1
2662,"16078    2018-2rq
Name: split, dtype: object",49002,44970,5,2,11,10,1,0
2663,"16090    2018-2rq
Name: split, dtype: object",62839,52388,8,2,17,11,1,0
2664,"16102    2018-2rq
Name: split, dtype: object",69080,56850,10,3,18,7,1,0
2665,"16114    2018-2rq
Name: split, dtype: object",73289,56410,8,0,16,7,1,0
2666,"16126    2018-2rq
Name: split, dtype: object",54685,67934,2,8,8,22,0,1
2667,"16138    2018-2rq
Name: split, dtype: object",67462,59784,11,3,13,6,1,0
2668,"16150    2018-2p
Name: split, dtype: object",37881,52990,0,9,4,18,0,1
2669,"16162    2018-2p
Name: split, dtype: object",50550,65867,0,11,9,19,0,1
2670,"16174    2018-2p
Name: split, dtype: object",74602,63653,11,4,19,13,1,0
2671,"16186    2018-2p
Name: split, dtype: object",72478,68708,5,7,21,21,0,1
2672,"10    2018-W
Name: split, dtype: object",61161,47104,10,1,13,6,1,0
2673,"22    2018-W
Name: split, dtype: object",53137,66965,0,9,9,19,0,1
2674,"34    2018-W
Name: split, dtype: object",57025,48385,9,4,17,10,1,0
2675,"46    2018-W
Name: split, dtype: object",48742,36475,9,0,16,2,1,0
2676,"58    2018-W
Name: split, dtype: object",76260,78999,9,8,14,18,0,1
2677,"70    2018-W
Name: split, dtype: object",57653,43468,10,0,13,3,1,0
2678,"82    2018-W
Name: split, dtype: object",54077,35433,9,0,20,2,1,0
2679,"94    2018-W
Name: split, dtype: object",48130,57672,1,11,1,5,0,1
2680,"106    2018-W
Name: split, dtype: object",62739,54435,9,3,9,4,1,0
2681,"118    2018-W
Name: split, dtype: object",46170,55456,1,8,4,9,0,1
2682,"130    2018-W
Name: split, dtype: object",56026,66507,3,10,7,11,0,1
2683,"142    2018-W
Name: split, dtype: object",41127,53479,2,10,7,13,0,1
2684,"154    2018-W
Name: split, dtype: object",58338,44856,9,2,18,4,1,0
2685,"166    2018-W
Name: split, dtype: object",70148,51664,11,0,16,6,1,0
2686,"178    2018-W
Name: split, dtype: object",58416,64267,2,11,11,14,0,1
2687,"190    2018-W
Name: split, dtype: object",55680,65868,4,8,8,18,0,1
2688,"202    2018-W
Name: split, dtype: object",56161,60151,6,8,16,28,0,1
2689,"214    2018-W
Name: split, dtype: object",69499,63512,9,5,14,9,1,0
2690,"226    2018-W
Name: split, dtype: object",46233,36542,9,4,7,0,1,0
2691,"238    2018-W
Name: split, dtype: object",57346,70922,3,11,10,16,0,1
2692,"250    2018-W
Name: split, dtype: object",51499,49067,6,4,15,11,1,0
2693,"262    2018-W
Name: split, dtype: object",53929,44026,8,2,18,9,1,0
2694,"274    2018-W
Name: split, dtype: object",68893,59108,9,0,24,13,1,0
2695,"286    2018-W
Name: split, dtype: object",58595,40740,11,0,22,9,1,0
2696,"298    2018-W
Name: split, dtype: object",52365,34890,10,0,18,2,1,0
2697,"310    2018-W
Name: split, dtype: object",62119,43977,11,2,16,3,1,0
2698,"322    2018-W
Name: split, dtype: object",53458,40518,10,1,13,5,1,0
2699,"334    2018-W
Name: split, dtype: object",62585,58273,8,3,18,6,1,0
2700,"346    2018-W
Name: split, dtype: object",58713,42223,11,1,18,7,1,0
2701,"358    2018-W
Name: split, dtype: object",54269,45582,9,1,17,8,1,0
2702,"370    2018-W
Name: split, dtype: object",60178,43748,10,1,17,8,1,0
2703,"382    2018-W
Name: split, dtype: object",39951,57746,3,9,2,20,0,1
2704,"394    2018-W
Name: split, dtype: object",46900,31220,9,0,16,2,1,0
2705,"406    2018-W
Name: split, dtype: object",47655,62815,1,9,10,23,0,1
2706,"418    2018-W
Name: split, dtype: object",70864,69715,4,8,11,10,0,1
2707,"430    2018-W
Name: split, dtype: object",38466,51959,1,9,2,12,0,1
2708,"442    2018-W
Name: split, dtype: object",85276,72071,11,4,24,15,1,0
2709,"454    2018-W
Name: split, dtype: object",72213,73609,10,7,14,18,0,1
2710,"466    2018-W
Name: split, dtype: object",45395,59783,1,9,3,16,0,1
2711,"478    2018-W
Name: split, dtype: object",66869,65009,8,5,13,17,0,1
2712,"490    2018-W
Name: split, dtype: object",69853,60068,9,1,18,12,1,0
2713,"502    2018-W
Name: split, dtype: object",53262,66746,2,10,9,20,0,1
2714,"514    2018-W
Name: split, dtype: object",65437,52637,10,2,14,4,1,0
2715,"526    2018-W
Name: split, dtype: object",74420,66477,8,3,18,12,1,0
2716,"538    2018-W
Name: split, dtype: object",40165,49363,1,7,1,11,0,1
2717,"550    2018-W
Name: split, dtype: object",57780,67708,2,11,3,7,0,1
2718,"562    2018-W
Name: split, dtype: object",48914,37101,10,0,11,3,1,0
2719,"574    2018-W
Name: split, dtype: object",74775,82298,3,9,18,15,0,1
2720,"586    2018-W
Name: split, dtype: object",78179,66001,9,3,12,2,1,0
2721,"598    2018-W
Name: split, dtype: object",65742,56209,10,1,16,10,1,0
2722,"610    2018-W
Name: split, dtype: object",39912,56595,1,11,1,16,0,1
2723,"622    2018-W
Name: split, dtype: object",53242,41558,7,3,13,4,1,0
2724,"634    2018-W
Name: split, dtype: object",84129,87125,8,8,16,17,0,1
2725,"646    2018-W
Name: split, dtype: object",59698,62327,4,7,5,8,0,1
2726,"658    2018-W
Name: split, dtype: object",38993,54648,0,10,2,14,0,1
2727,"670    2018-W
Name: split, dtype: object",41587,55153,1,8,5,16,0,1
2728,"682    2018-W
Name: split, dtype: object",43028,54842,2,9,9,21,0,1
2729,"694    2018-W
Name: split, dtype: object",71322,58981,11,2,23,10,1,0
2730,"706    2018-W
Name: split, dtype: object",58597,46243,11,2,17,7,1,0
2731,"718    2018-W
Name: split, dtype: object",37010,47460,2,8,2,11,0,1
2732,"730    2018-W
Name: split, dtype: object",56669,40794,11,1,12,2,1,0
2733,"742    2018-W
Name: split, dtype: object",57763,51760,6,2,4,3,1,0
2734,"754    2018-W
Name: split, dtype: object",41751,32413,8,1,15,7,1,0
2735,"766    2018-W
Name: split, dtype: object",36666,50430,1,9,5,16,0,1
2736,"778    2018-W
Name: split, dtype: object",73793,55630,11,0,10,1,1,0
2737,"790    2018-W
Name: split, dtype: object",62692,50802,11,1,9,2,1,0
2738,"802    2018-W
Name: split, dtype: object",60153,52684,8,3,13,9,1,0
2739,"814    2018-W
Name: split, dtype: object",55359,70576,0,9,6,13,0,1
2740,"826    2018-W
Name: split, dtype: object",65421,56177,8,3,12,6,1,0
