,split,goldblue,goldred,bTowers,rTowers,bKills,rKills,bResult,rResult
156,"1882    2018-1
Name: split, dtype: object",64217,56262,11,3,12,2,1,0
157,"1894    2018-1
Name: split, dtype: object",63340,54828,8,6,14,3,1,0
158,"1906    2018-1
Name: split, dtype: object",90988,92587,7,10,5,11,0,1
159,"1918    2018-1
Name: split, dtype: object",84607,79318,11,4,11,10,1,0
160,"1930    2018-1
Name: split, dtype: object",64892,53065,9,2,20,6,1,0
161,"1942    2018-1
Name: split, dtype: object",121538,109138,11,7,11,8,1,0
162,"1954    2018-1
Name: split, dtype: object",86517,91470,5,9,17,26,0,1
163,"1966    2018-1
Name: split, dtype: object",92359,85617,11,5,13,5,1,0
164,"1978    2018-1
Name: split, dtype: object",82417,89540,7,8,15,15,0,1
165,"1990    2018-1
Name: split, dtype: object",65373,75888,1,11,9,13,0,1
166,"2002    2018-1
Name: split, dtype: object",77219,65805,9,3,12,6,1,0
167,"2014    2018-1
Name: split, dtype: object",74046,60884,11,1,10,6,1,0
168,"2026    2018-1
Name: split, dtype: object",69847,59888,9,3,13,7,1,0
169,"2038    2018-1
Name: split, dtype: object",76295,86969,6,9,15,20,0,1
170,"2050    2018-1
Name: split, dtype: object",71289,60238,11,2,14,4,1,0
171,"2062    2018-1
Name: split, dtype: object",67452,53970,10,2,13,9,1,0
172,"2074    2018-1
Name: split, dtype: object",55544,67087,4,11,6,13,0,1
173,"2086    2018-1
Name: split, dtype: object",61171,75552,3,9,8,15,0,1
174,"2098    2018-1
Name: split, dtype: object",70941,60069,11,0,10,5,1,0
175,"2110    2018-1
Name: split, dtype: object",64495,78675,2,11,7,19,0,1
176,"2122    2018-1
Name: split, dtype: object",50491,60267,1,10,3,12,0,1
177,"2134    2018-1
Name: split, dtype: object",48974,62468,3,7,9,19,0,1
178,"2146    2018-1
Name: split, dtype: object",44247,60021,1,10,1,14,0,1
179,"2158    2018-1
Name: split, dtype: object",67649,56943,10,5,15,3,1,0
180,"2170    2018-1
Name: split, dtype: object",51327,67995,2,11,1,11,0,1
181,"2182    2018-1
Name: split, dtype: object",63427,52183,9,3,14,4,1,0
182,"2194    2018-1
Name: split, dtype: object",78236,64272,11,4,24,12,1,0
183,"2206    2018-1
Name: split, dtype: object",44136,61043,2,10,5,14,0,1
184,"2218    2018-1
Name: split, dtype: object",47400,56125,1,8,3,11,0,1
185,"2230    2018-1
Name: split, dtype: object",104440,106420,7,11,29,17,0,1
186,"2242    2018-1
Name: split, dtype: object",68719,57649,11,0,13,5,1,0
187,"2254    2018-1
Name: split, dtype: object",52489,60008,1,11,1,9,0,1
188,"2266    2018-1
Name: split, dtype: object",57286,47523,10,3,15,4,1,0
189,"2278    2018-1
Name: split, dtype: object",69192,53554,8,1,15,5,1,0
190,"2290    2018-1
Name: split, dtype: object",65077,58779,7,4,11,1,1,0
191,"2302    2018-1
Name: split, dtype: object",64996,47908,10,1,7,1,1,0
192,"2314    2018-1
Name: split, dtype: object",65329,57377,9,2,10,7,1,0
193,"2326    2018-1
Name: split, dtype: object",54301,68324,1,11,1,9,0,1
194,"2338    2018-1
Name: split, dtype: object",47425,64442,0,11,6,10,0,1
195,"2350    2018-1
Name: split, dtype: object",66376,54058,11,2,18,8,1,0
196,"2362    2018-1
Name: split, dtype: object",52547,65250,2,9,7,13,0,1
197,"2374    2018-1
Name: split, dtype: object",58314,49404,9,1,8,3,1,0
198,"2386    2018-1
Name: split, dtype: object",63280,74400,2,10,3,8,0,1
199,"2398    2018-1
Name: split, dtype: object",58124,68168,3,11,9,16,0,1
200,"2410    2018-1
Name: split, dtype: object",47595,62896,1,10,8,15,0,1
201,"2422    2018-1
Name: split, dtype: object",49580,64887,0,11,0,9,0,1
202,"2434    2018-1
Name: split, dtype: object",63651,50463,10,1,19,5,1,0
203,"2446    2018-1
Name: split, dtype: object",91300,78939,10,6,16,8,1,0
204,"2458    2018-1
Name: split, dtype: object",55528,74979,0,11,3,12,0,1
205,"2470    2018-1
Name: split, dtype: object",58182,69011,4,9,7,16,0,1
206,"2482    2018-1
Name: split, dtype: object",70159,72984,5,10,8,18,0,1
207,"2494    2018-1
Name: split, dtype: object",113120,104997,7,10,24,16,1,0
208,"2506    2018-1
Name: split, dtype: object",85496,66826,11,0,16,7,1,0
209,"2518    2018-1
Name: split, dtype: object",77140,63562,11,3,16,7,1,0
210,"2530    2018-1
Name: split, dtype: object",77162,85790,5,10,6,14,0,1
211,"2542    2018-1
Name: split, dtype: object",60480,47110,9,2,12,2,1,0
212,"2554    2018-1
Name: split, dtype: object",91449,79311,11,5,12,5,1,0
213,"2566    2018-1
Name: split, dtype: object",86679,82334,9,10,15,8,0,1
214,"2578    2018-1
Name: split, dtype: object",53674,66470,0,10,7,12,0,1
215,"2590    2018-1
Name: split, dtype: object",53276,36985,8,0,22,3,1,0
216,"2602    2018-1
Name: split, dtype: object",66933,79137,5,10,4,17,0,1
217,"2614    2018-1
Name: split, dtype: object",53760,66886,2,9,3,13,0,1
218,"2626    2018-1
Name: split, dtype: object",65200,83105,3,11,4,13,0,1
219,"2638    2018-1
Name: split, dtype: object",64402,51679,9,1,8,0,1,0
220,"2650    2018-1
Name: split, dtype: object",81303,82398,8,7,14,9,1,0
221,"2662    2018-1
Name: split, dtype: object",58911,44357,8,2,16,4,1,0
222,"2674    2018-1
Name: split, dtype: object",75002,74558,8,2,9,10,1,0
223,"2686    2018-1
Name: split, dtype: object",65335,47598,11,1,13,1,1,0
224,"2698    2018-1
Name: split, dtype: object",68048,83554,2,10,2,14,0,1
225,"2710    2018-1
Name: split, dtype: object",69983,55440,10,2,11,7,1,0
226,"2722    2018-1
Name: split, dtype: object",66453,84680,1,11,3,16,0,1
227,"2734    2018-1
Name: split, dtype: object",62417,69744,5,8,2,11,0,1
228,"2746    2018-1
Name: split, dtype: object",69501,57085,11,1,7,1,1,0
229,"2758    2018-1
Name: split, dtype: object",60258,69074,4,7,9,14,0,1
230,"2770    2018-1
Name: split, dtype: object",62001,76961,2,10,5,16,0,1
231,"2782    2018-1
Name: split, dtype: object",51703,35778,11,0,8,1,1,0
232,"2794    2018-1
Name: split, dtype: object",40313,55873,0,11,3,11,0,1
233,"2806    2018-1
Name: split, dtype: object",74202,58455,8,1,14,5,1,0
234,"2818    2018-1
Name: split, dtype: object",69254,93003,0,11,3,12,0,1
235,"2830    2018-1
Name: split, dtype: object",49121,57876,2,8,5,12,0,1
236,"2842    2018-1
Name: split, dtype: object",71220,71189,9,6,6,9,1,0
237,"2854    2018-1
Name: split, dtype: object",66413,82899,0,11,1,18,0,1
238,"2866    2018-1
Name: split, dtype: object",88975,75851,11,2,11,5,1,0
239,"2878    2018-1
Name: split, dtype: object",99352,80734,11,2,11,5,1,0
240,"2890    2018-1
Name: split, dtype: object",45047,61651,0,11,3,15,0,1
241,"2902    2018-1
Name: split, dtype: object",80680,67935,11,1,6,3,1,0
242,"2914    2018-1
Name: split, dtype: object",57424,73795,2,11,2,9,0,1
243,"2926    2018-1
Name: split, dtype: object",83573,76458,11,5,14,11,1,0
244,"2938    2018-1
Name: split, dtype: object",54874,72683,0,11,6,15,0,1
245,"2950    2018-1
Name: split, dtype: object",77142,59770,10,1,14,8,1,0
246,"2962    2018-1
Name: split, dtype: object",90313,75721,11,3,12,1,1,0
247,"2974    2018-1
Name: split, dtype: object",101473,86864,10,3,10,6,1,0
248,"2986    2018-1
Name: split, dtype: object",59985,68812,4,10,3,12,0,1
249,"2998    2018-1
Name: split, dtype: object",61696,47517,9,2,12,4,1,0
250,"3010    2018-1
Name: split, dtype: object",31949,41926,1,7,5,19,0,1
251,"3022    2018-1
Name: split, dtype: object",84389,75718,11,3,19,12,1,0
252,"3034    2018-1
Name: split, dtype: object",48428,63059,3,10,2,17,0,1
253,"3046    2018-1
Name: split, dtype: object",104393,93424,11,5,15,15,1,0
254,"3058    2018-1
Name: split, dtype: object",66483,61417,8,2,12,8,1,0
255,"3070    2018-1
Name: split, dtype: object",62122,72097,1,8,11,14,0,1
256,"3082    2018-1
Name: split, dtype: object",84868,85476,11,7,14,15,0,1
257,"3094    2018-1
Name: split, dtype: object",61460,48568,8,1,11,1,1,0
258,"3106    2018-1
Name: split, dtype: object",67666,54848,11,3,9,3,1,0
259,"3118    2018-1
Name: split, dtype: object",71345,65442,8,4,16,9,1,0
260,"3130    2018-1
Name: split, dtype: object",59634,66800,1,11,8,9,0,1
261,"3142    2018-1
Name: split, dtype: object",76999,67194,11,4,7,2,1,0
262,"3154    2018-1
Name: split, dtype: object",110430,125625,9,8,9,19,0,1
263,"3166    2018-1
Name: split, dtype: object",69860,48427,11,0,8,2,1,0
264,"3178    2018-1
Name: split, dtype: object",51272,68019,0,10,6,14,0,1
265,"3190    2018-1
Name: split, dtype: object",70259,79699,2,10,6,13,0,1
266,"3202    2018-1
Name: split, dtype: object",94047,88601,9,6,15,16,0,1
267,"3214    2018-1
Name: split, dtype: object",83899,76963,11,3,11,9,1,0
268,"3226    2018-1
Name: split, dtype: object",47310,56760,2,7,5,8,0,1
269,"3238    2018-1
Name: split, dtype: object",72919,59013,10,5,22,9,1,0
270,"3250    2018-1
Name: split, dtype: object",64514,79176,2,11,3,17,0,1
271,"3262    2018-1
Name: split, dtype: object",50594,69189,2,11,1,9,0,1
272,"3274    2018-1
Name: split, dtype: object",97363,90825,7,7,14,10,0,1
273,"3286    2018-1
Name: split, dtype: object",74423,68426,10,4,13,9,1,0
274,"3298    2018-1
Name: split, dtype: object",68733,54525,10,1,12,5,1,0
275,"3310    2018-1
Name: split, dtype: object",83594,83343,7,11,8,8,0,1
276,"3322    2018-1
Name: split, dtype: object",41511,59446,0,9,3,17,0,1
277,"3334    2018-1
Name: split, dtype: object",67004,51412,10,2,8,0,1,0
278,"3346    2018-1
Name: split, dtype: object",81566,62415,11,0,16,7,1,0
279,"3358    2018-1
Name: split, dtype: object",67716,79914,4,9,5,13,0,1
280,"3370    2018-1
Name: split, dtype: object",39142,54565,0,8,1,12,0,1
281,"3382    2018-1
Name: split, dtype: object",76824,89587,2,10,7,7,0,1
282,"3394    2018-1
Name: split, dtype: object",85892,70046,11,3,16,7,1,0
283,"3406    2018-1
Name: split, dtype: object",54336,74075,1,11,3,16,0,1
284,"3418    2018-1
Name: split, dtype: object",57206,63811,3,8,10,17,0,1
285,"3430    2018-1
Name: split, dtype: object",70850,77527,5,11,6,11,0,1
286,"3442    2018-1
Name: split, dtype: object",71571,92785,0,10,7,11,0,1
287,"3454    2018-1
Name: split, dtype: object",79989,66687,11,1,6,3,1,0
288,"3466    2018-1
Name: split, dtype: object",68090,57661,9,2,13,3,1,0
289,"3478    2018-1
Name: split, dtype: object",61394,70548,2,8,3,8,0,1
290,"3490    2018-1
Name: split, dtype: object",95461,79800,9,3,15,5,1,0
291,"3502    2018-1
Name: split, dtype: object",87422,76146,9,2,7,3,1,0
292,"3514    2018-1
Name: split, dtype: object",76943,65823,11,3,20,7,1,0
293,"3526    2018-1
Name: split, dtype: object",75173,83857,6,8,9,19,0,1
294,"3538    2018-1
Name: split, dtype: object",77550,61045,8,1,11,3,1,0
295,"3550    2018-1
Name: split, dtype: object",92307,77310,11,3,16,14,1,0
296,"3562    2018-1
Name: split, dtype: object",91379,81343,10,4,13,8,1,0
297,"3574    2018-1
Name: split, dtype: object",96911,107876,2,11,13,13,0,1
298,"3586    2018-1
Name: split, dtype: object",52299,39533,10,0,11,3,1,0
