,leage,game,view,length,real_time,duration,chat
101154,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:36,21362.45,Football Pepega Football Pepega Football Pepega Football Pepega Football Pepega
101155,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:36,21362.754,cant EU and NA have peace...?
101156,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:36,21362.903,@kerutoto clintAY
101157,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:36,21363.217,SICK haHAA
101158,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:37,21363.945,SICK DUDE
101159,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:37,21364.056,MOSHI MOSHI 📞 AYAYA RUNNING LOW ON CUTIES 📞 AYAYA NEED BACKUP 📞 AYAYA ARIGATO 📞 AYAYA
101160,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:38,21364.576,NA 4Head TURKEY=EU 4Head KILL SOME EMIGRANTS 4Head EAT SOME FAST FOOD 4Head BRING GUNS TO SCHOOL 4Head PLAY FOOTBALL WITH HANDS 4Head OUR PRESIDENT IS THE BEST 4Head
101161,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:38,21364.928,FeelsBadMan
101162,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:39,21365.572,"Hey mods, did you really think that slow mode will affect on me. I will let you know that I have multiple accounts in this chat right now. If you don't believe me, I will copy and paste this on my other accounts right now.."
101163,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:39,21365.687,Im a grandmaster pyke onetrick :)
101164,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:39,21365.922000000002,LUL
101165,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:39,21365.938,KEKW
101166,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:39,21366.254,📞 AYAYA MOSHI MOSHI 📞 AYAYA RUNNING LOW ON CUTIES 📞 AYAYA NEED BACKUP 📞 AYAYA ARIGATO
101167,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:40,21366.488999999998,"If you don't agree, leave now, or go to heaven."
101168,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:40,21366.561,LUL CYEOL IRELIA LUL
101169,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:40,21366.895,EU LOSING TO CG LULW EU LOSING TO CG LULW EU LOSING TO CG LULW EU LOSING TO CG LULW EU LOSING TO CG LULW EU LOSING TO CG LULW
101170,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:40,21367.123,clap
101171,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:40,21367.154,PEASANT YOUTH LULW
101172,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:41,21367.564,D:
101173,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:41,21367.787,NA --> NO ACHIEVEMENTS
101174,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:41,21367.89,Pogu
101175,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:42,21368.347999999998,LULW SOCCER = Pepega Pepega Pepega Pepega Pepega Pepega Pepega . . .⚽️ LULW
101176,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:42,21368.807,DIG Pog
101177,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:42,21368.945,Na LUL
101178,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:42,21369.016,WHY IS EU SO MAD LUL WHY IS EU SO MAD LUL
101179,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:42,21369.151,Nil LUL
101180,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:43,21369.398999999998,Cody sun Asian lul
101181,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:43,21369.402000000002,3-0 inc
101182,LK vs. DWG | Play-In Knockouts Day 1 | 2019 World Championship,League of Legends,50492,27915,2019-10-08 00:42:43,21369.441000000003,TSM PogU
