,leage,game,view,length,real_time,duration,chat
54941,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:37,14757.487,Yuuli Kreygasm
54942,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:37,14757.73,AYAYA XINNIETHEPOOH
54943,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:37,14757.801000000001,YULI QT AF
54944,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:37,14757.816,ratirlMangoS
54945,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:37,14757.825,9
54946,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:37,14757.905,HOT GRILL
54947,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:37,14758.066,YULI Kreygasm Kreygasm
54948,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:38,14758.345,LIBERATE HONG KONG
54949,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:38,14758.403,[This comment has been censored by the central government of the People’s Republic of China]
54950,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:38,14758.447,YULI BUFF AYAYA HKA WIN AYAYA
54951,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:38,14758.725,Kappa Kappa Kappa Kappa
54952,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:38,14758.955,AYAYA YULI AYAYA
54953,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:38,14759.242,AMERICA LOVES HONG KONG
54954,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:39,14759.357,AYAYA Cuties supports Xi Jinping AYAYA Clap
54955,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:39,14759.743,: SwiftRage LIBERATE HONG KONG! SwiftRage REVOLUTION OF OUR TIMES
54956,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:39,14759.858999999999,HONG KONG IS NOT CHINA!!
54957,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:39,14759.931,yuliFine yuliFine yuliFine yuliFine
54958,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:39,14760.101,MingLee FREEDOM MingLee FREEDOM
54959,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:39,14760.25,ResidentSleeper ResidentSleeper ResidentSleeper ResidentSleeper ResidentSleeper ResidentSleeper ResidentSleeper ResidentSleeper ResidentSleeper ResidentSleeper
54960,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:40,14760.598,SabaPing
54961,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:40,14760.603000000001,[This comment has been censored by the central government of the People’s Republic of China]
54962,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:40,14760.632,FIGHT FOR FREEDOM AND STAND WITH HONG KONG
54963,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:40,14760.663999999999,PVMAN = GG KEKW PVMAN = GG KEKW PVMAN = GG KEKW PVMAN = GG KEKW PVMAN = GG KEKW PVMAN = GG KEKW
54964,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:40,14760.703000000001,cute
54965,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:40,14760.901000000002,D I U L E I L O U M O U
54966,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:40,14760.91,vaigar LUL
54967,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:40,14760.941,FREE HK VoteYea CCP VoteNay FREE HK VoteYea CCP VoteNay
54968,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:40,14761.178,SwiftRage FREE NBA SwiftRage FREE BLIZZARD SwiftRage FREE HONG KONG
54969,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:41,14761.518,SwiftRage FREE NBA SwiftRage FREE BLIZZARD SwiftRage FREE HONG KONG
54970,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:41,14761.535,FIGHT FOR FREEDOM SwiftRage SwiftRage STAND WITH HONG KONG SwiftRage SwiftRage
54971,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:41,14761.812,FIGHT FOR FREEDOM SwiftRage STAND WITH HONG KONG SwiftRage
54972,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:41,14762.221000000001,VoHiYo
54973,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:42,14762.386,",nba"
54974,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:42,14762.518,Kreygasm CXLIBRI AYAYA YULI Kreygasm
54975,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:42,14762.737,Opress hong kong
54976,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:42,14762.764,VYE-GAR
54977,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:43,14763.488000000001,TENCENT WeirdChamp TENCENT WeirdChamp
54978,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:43,14763.517,FREE HK DEMOCRACY NOW
54979,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:43,14763.628999999999,send love to HK
54980,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:43,14763.823,FREE NBA BibleThump FREE BLIZZARD BibleThump FREE HONG KONG!!!!!!!!
54981,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:43,14764.226999999999,BLISSARD LULW BLISSARD LULW BLISSARD LULW BLISSARD LULW
54982,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:44,14765.286,sneaky
54983,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:45,14765.413999999999,IS THAT A JOJO REFERENCE?
54984,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:45,14765.687,Kappa Kappa
54985,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:45,14766.233999999999,Eye for HK SwiftRage Eye for HK SwiftRage Eye for HK SwiftRage Eye for HK SwiftRage
54986,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:45,14766.258,FREE HONG KONG
54987,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:46,14766.374,Free HK
54988,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:46,14766.508999999998,!score
54989,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:46,14766.788,FREE HONG KONG
54990,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:46,14767.003999999999,WHO IS THE GIRL
54991,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:46,14767.008999999998,FREE HONG KONG
54992,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:46,14767.188999999998,[This comment has been censored by the central government of the People’s Republic of China]
54993,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:46,14767.245,[This comment has been censored by the central government of the People’s Republic of China]
54994,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:46,14767.261,free hong kong DEMOCRACY NOW
54995,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:47,14767.783000000001,FREE HONG KONG SwiftRage FREE CAPTAIN FLOWERS SwiftRage
54996,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:47,14768.25,Kreygasm
54997,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:47,14768.252,Save HK
54998,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:48,14768.565,[This comment has been censored by the central government of the People’s Republic of China]
54999,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:48,14768.956,Patrick Kreygasm
55000,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:48,14769.278999999999,Free NK
55001,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:49,14769.603000000001,VERY VERY HARD Kreygasm
55002,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:49,14769.925,solo kill PogChamp
55003,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:49,14770.171999999999,BigPhish NaM Winnie the Pooh BigPhish NaM The Tiananmen Square Massacre BigPhish NaM Free Hong Kong BigPhish NaM
55004,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:49,14770.191,"fight for freedom , stand with hong kong"
55005,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:49,14770.233999999999,SwiftRage FREE NBA SwiftRage FREE BLIZZARD SwiftRage FREE HONG KONG
55006,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:50,14770.596000000001,SwiftRage FREE H0NG K0NG
55007,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:50,14771.162,@CHINA WeirdChamp @CHINA WeirdChamp @CHINA WeirdChamp
55008,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:51,14771.495,FREE BLITZCHUNG SwiftRage FREE HONG KONG SwiftRage
55009,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:51,14771.936000000002,The World Stands With HONG KONG
55010,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:52,14772.458,i love league of legend 2
55011,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:52,14772.498,ResidentSleeper ResidentSleeper ResidentSleeper ResidentSleeper
55012,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:52,14772.708999999999,LET'S GO
55013,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:52,14773.131000000001,yuli ayayay
55014,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:53,14773.716999999999,free hong kong
55015,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:53,14774.122,[This comment has been censored by the central government of the People’s Republic of China]
55016,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:54,14774.511999999999,I stand with Hong Kong
55017,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:54,14774.598,CHINA : WE NEED INSTALL VIRUS TO LET HONG KONG LOSE LUL
55018,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:54,14774.837,ISGWIN
55019,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:54,14775.036,ANY WEEBS AYAYA Clap ?
55020,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:54,14775.1,<3
55021,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:54,14775.165,stand with hk
55022,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:55,14775.407,ResidenSleeper
55023,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:55,14775.567,VI-GAR DansGame VI-GAR DansGame VI-GAR DansGame VI-GAR DansGame VI-GAR DansGame VI-GAR DansGame VI-GAR DansGame VI-GAR DansGame VI-GAR DansGame VI-GAR DansGame VI-GAR DansGame VI-GAR DansGame
55024,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:55,14775.951000000001,FIGHT FOR FREEDOM SwiftRage STAND WITH HONG KONG SwiftRage
55025,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:55,14776.243,[This comment has been censored by the central government of the People’s Republic of China]
55026,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:56,14776.473999999998,CHINA SAID HK CANT WIN
55027,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:56,14776.56,"FREE HONGKONG, 6 DEMANDS NOT 1 LESS!"
55028,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:56,14776.583999999999,free Hong KOng
55029,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:56,14776.729,well I'm glad you didnt have what I got.
55030,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:56,14777.115,Free Hong Kong
55031,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:56,14777.121000000001,: FIGHT FOR FREEDOM SwiftRage STAND WITH HONG KONG SwiftRage
55032,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:56,14777.28,they wish they could be so sneaky
55033,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:57,14777.822,yeeeeeeeeeee
55034,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:57,14777.862,FREE HONG KONG!!
55035,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:57,14777.958999999999,MercyWing1 HONG KONG NO. 1 MercyWing2
55036,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:58,14778.928,FIGHT FOR FREEDOM SwiftRage STAND WITH HONG KONG SwiftRage
55037,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:58,14779.003999999999,veigar Pog
55038,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:59,14779.308,FREE HK!!!!!!
55039,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:58:59,14779.908000000001,Fight for freedom Stand With Hong Kong
55040,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:59:00,14780.456,SwiftRage FREE NBA SwiftRage FREE BLIZZARD SwiftRage FREE HONG KONG
55041,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:59:00,14780.543,Free Hong Kong
55042,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:59:00,14780.719,cleanse rakan?
55043,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:59:00,14781.239,[This comment has been censored by the central government of the People’s Republic of China]]
55044,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:59:01,14781.983999999999,GAME SwiftRage
55045,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:59:02,14782.416000000001,[This comment has been censored by the central government of the People’s Republic of China]
55046,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:59:02,14782.47,discoSalute discoSalute discoSalute discoSalute discoSalute discoSalute discoSalute discoSalute
55047,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:59:02,14782.695,FREE HONG KONG SwiftRage FREE HONG KONG SwiftRage FREE HONG KONG SwiftRage FREE HONG KONG SwiftRage
55048,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:59:02,14783.258999999998,Fight for Freedom! Stand with Hong Koong
55049,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:59:03,14783.303999999998,china supreme F HK
55050,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:59:03,14783.878999999999,forsenE LETS forsenE GO forsenE FORSEN forsenE
55051,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:59:04,14784.411,mango1 mango2 mango3
55052,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:59:05,14785.782,[This comment has been censored by the central government of the People’s Republic of China]
55053,HKA vs. ISG | Play-In Knockouts Day 2 | 2019 World Championship,League of Legends,47130,36448,2019-10-08 22:59:05,14785.96,PogChamp PogChamp PogChamp
